comment_text,article_url,article_title,comment_sentiment,comment_confidence,comment_dominant_emotion,article_title_sentiment,article_title_confidence,article_title_dominant_emotion,article_sentiment,article_confidence,article_dominant_emotion
"Браво, добре ги подбраха дилърите на шonapa!!!",https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,Позитивен,0.72,одобрение,Негативен,0.78,тревога,Негативен,0.78,тревога
А тези предизборни ремонти на пътища ще ги проверите ли финансират ли някой?,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,Негативен,0.82,недоверие,Негативен,0.78,тревога,Негативен,0.78,тревога
"Поне при купуването и продаването инфлацията не е толкова голяма. Как не са почнали и по сметка да ги превеждат, че да не ги хващат от полицията?",https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,Негативен,0.72,ирония,Негативен,0.78,тревога,Негативен,0.78,тревога
"добре де, що не казват че толкоз кинти дават само ППДБДЕБИЛИТЕ от Петpoxaн. Щот умник гюро, емо узото и голямото ухо са ппдебедебили?",https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,Негативен,0.95,гняв,Негативен,0.78,тревога,Негативен,0.78,тревога
"Гн Министър Дечев,гн *** Секретар на МВР,защо гн Деректор на ОД МВР гр Смолян гн Пачеджиев не размести полицаите от гр Доспат,те са послушковците на общ кмет гн Елин Радев.Те помагат за копуване на гласове и прикриване на всички далавери.Това трябваше даго направите в началото.Сега е разгара на всички далавери.",https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,Негативен,0.95,гняв,Негативен,0.78,тревога,Негативен,0.78,тревога
Сега разбрахте ли защо Тиквата и Сви н та не искат да се гласува с машини!,https://www.dnes.bg/a/6-krimi/717491-mashtabna-aktsiya-sreshtu-kupeniya-vot-v-montansko-izzeha-dokumenti-na-pochinali,Мащабна акция срещу купения вот в Монтанско: Иззеха документи на починали,Негативен,0.92,гняв,Негативен,0.92,тревога,Негативен,0.92,тревога
"До 7. Кметът на Монтана, Златко Живков, НЕ Е от ГЕРБ!",https://www.dnes.bg/a/6-krimi/717491-mashtabna-aktsiya-sreshtu-kupeniya-vot-v-montansko-izzeha-dokumenti-na-pochinali,Мащабна акция срещу купения вот в Монтанско: Иззеха документи на починали,Неутрален,0.74,раздразнение,Негативен,0.92,тревога,Негативен,0.92,тревога
До 21. Точно ТИ пък откъде го знаеш това? А и нали новият министър с поглед на пациент от психиатрична клиника смени всички директори на ОДМВР?,https://www.dnes.bg/a/6-krimi/717491-mashtabna-aktsiya-sreshtu-kupeniya-vot-v-montansko-izzeha-dokumenti-na-pochinali,Мащабна акция срещу купения вот в Монтанско: Иззеха документи на починали,Негативен,0.92,гняв,Негативен,0.92,тревога,Негативен,0.92,тревога
"До 20. Не, нищо няма да направи радеф. А и няма за какво.",https://www.dnes.bg/a/6-krimi/717491-mashtabna-aktsiya-sreshtu-kupeniya-vot-v-montansko-izzeha-dokumenti-na-pochinali,Мащабна акция срещу купения вот в Монтанско: Иззеха документи на починали,Негативен,0.62,скептицизъм,Негативен,0.92,тревога,Негативен,0.92,тревога
МВР е замесено.Те трябва да издирят личните карти на починалите в определен от закона срок.Цялата полиция в монтанско е обвързана с ГЕРБ.,https://www.dnes.bg/a/6-krimi/717491-mashtabna-aktsiya-sreshtu-kupeniya-vot-v-montansko-izzeha-dokumenti-na-pochinali,Мащабна акция срещу купения вот в Монтанско: Иззеха документи на починали,Негативен,0.92,гняв,Негативен,0.92,тревога,Негативен,0.92,тревога
"Тиквата и *** правеха това 20 години, ама нямаше кой да ги спре. Бяха завладяли цялата Държава. Дано Радев сложи край на това.",https://www.dnes.bg/a/6-krimi/717491-mashtabna-aktsiya-sreshtu-kupeniya-vot-v-montansko-izzeha-dokumenti-na-pochinali,Мащабна акция срещу купения вот в Монтанско: Иззеха документи на починали,Негативен,0.92,гняв,Негативен,0.92,тревога,Негативен,0.92,тревога
"До: 1у северозападнал татарстан осемдесе процента от колите над 10 000 лева се водат на умрели инвалиди, тихо ся",https://www.dnes.bg/a/6-krimi/717491-mashtabna-aktsiya-sreshtu-kupeniya-vot-v-montansko-izzeha-dokumenti-na-pochinali,Мащабна акция срещу купения вот в Монтанско: Иззеха документи на починали,Негативен,0.78,възмущение,Негативен,0.92,тревога,Негативен,0.92,тревога
"А защо продължават да се водят имоти, коли, сметки за парно, ток и вода на името на ПОЧИНАЛИ хора???",https://www.dnes.bg/a/6-krimi/717491-mashtabna-aktsiya-sreshtu-kupeniya-vot-v-montansko-izzeha-dokumenti-na-pochinali,Мащабна акция срещу купения вот в Монтанско: Иззеха документи на починали,Негативен,0.92,възмущение,Негативен,0.92,тревога,Негативен,0.92,тревога
"вчера филолог, днеска спортното в монтана, люлинския шебек е всестранно развита личност. междувременно за един следобед полицейското управление в сарасота е хванало квотата на българските милиционери за изтеклата седмица.",https://www.dnes.bg/a/6-krimi/717491-mashtabna-aktsiya-sreshtu-kupeniya-vot-v-montansko-izzeha-dokumenti-na-pochinali,Мащабна акция срещу купения вот в Монтанско: Иззеха документи на починали,Негативен,0.86,презрение,Негативен,0.92,тревога,Негативен,0.92,тревога
"До: анонименчичангелес, ти си педесе годишен люлински морук, нема как човека с мустаците да ти е предавал в спортното. тънко отадминистрирай З да не е е абаротнае че направа падладявамь",https://www.dnes.bg/a/6-krimi/717491-mashtabna-aktsiya-sreshtu-kupeniya-vot-v-montansko-izzeha-dokumenti-na-pochinali,Мащабна акция срещу купения вот в Монтанско: Иззеха документи на починали,Негативен,0.87,гняв,Негативен,0.92,тревога,Негативен,0.92,тревога
"До: анонимен....13 ...Ти колко поэнаваш кмета на Монтана? Щото аэ го поэнавам горе долу. Беше ми учител по история 4 г. и 2 г. директор, в спортното. И не съм на твоето мнение",https://www.dnes.bg/a/6-krimi/717491-mashtabna-aktsiya-sreshtu-kupeniya-vot-v-montansko-izzeha-dokumenti-na-pochinali,Мащабна акция срещу купения вот в Монтанско: Иззеха документи на починали,Неутрален,0.78,несъгласие,Негативен,0.92,тревога,Негативен,0.92,тревога
"ППДБ яко ги е подсирило, че пеевски ше им вземе северозапада и думкат сензации и с двете цеви. последния път заради тех станахме клиенти на росатом, да видиме след следващата окъкана показна акция дали нема да станеме клиенти и на тюрк телеком",https://www.dnes.bg/a/6-krimi/717491-mashtabna-aktsiya-sreshtu-kupeniya-vot-v-montansko-izzeha-dokumenti-na-pochinali,Мащабна акция срещу купения вот в Монтанско: Иззеха документи на починали,Негативен,0.88,гняв,Негативен,0.92,тревога,Негативен,0.92,тревога
"До: анонимен7 кметовете на враца и монтана са от ДСи са от кой им кажат, че са.",https://www.dnes.bg/a/6-krimi/717491-mashtabna-aktsiya-sreshtu-kupeniya-vot-v-montansko-izzeha-dokumenti-na-pochinali,Мащабна акция срещу купения вот в Монтанско: Иззеха документи на починали,Негативен,0.78,недоверие,Негативен,0.92,тревога,Негативен,0.92,тревога
"До: анонимен10 прибират рецетата от махалите , съветват ги и го отчитат като борба с купените гласове. там къде са намирали пищаци и ганджа намират пищаци и ганджа. нашия пише 60% рейтинг и успешни мисии, като се едно играе на света на танкувити, и пъчи, щото иначе хората ше почнат да питат кво стана със знаковите разследвания и къде е пепи еврото.",https://www.dnes.bg/a/6-krimi/717491-mashtabna-aktsiya-sreshtu-kupeniya-vot-v-montansko-izzeha-dokumenti-na-pochinali,Мащабна акция срещу купения вот в Монтанско: Иззеха документи на починали,Негативен,0.87,разочарование,Негативен,0.92,тревога,Негативен,0.92,тревога
"Този МВР шеф вече просто кърти *** с показните си изпълнения. След фризьорките, магазинерките и лихварите сега е редът на починалите. Как да разбере милиционерската му кратуна, че картата на починал автоматично става невалидна след смъртта му и няма как да се използва за каквото и да било. Въпрос на елементарна проверка е.",https://www.dnes.bg/a/6-krimi/717491-mashtabna-aktsiya-sreshtu-kupeniya-vot-v-montansko-izzeha-dokumenti-na-pochinali,Мащабна акция срещу купения вот в Монтанско: Иззеха документи на починали,Негативен,0.98,гняв,Негативен,0.92,тревога,Негативен,0.92,тревога
Значи много добре са ги знаели преди това...,https://www.dnes.bg/a/6-krimi/717491-mashtabna-aktsiya-sreshtu-kupeniya-vot-v-montansko-izzeha-dokumenti-na-pochinali,Мащабна акция срещу купения вот в Монтанско: Иззеха документи на починали,Негативен,0.68,подозрение,Негативен,0.92,тревога,Негативен,0.92,тревога
кметовете на враца и монтана са от герб,https://www.dnes.bg/a/6-krimi/717491-mashtabna-aktsiya-sreshtu-kupeniya-vot-v-montansko-izzeha-dokumenti-na-pochinali,Мащабна акция срещу купения вот в Монтанско: Иззеха документи на починали,Неутрален,0.95,неутралност,Негативен,0.92,тревога,Негативен,0.92,тревога
Поръчителя е важно да се хване не само посредника. Те тия са като бушони и ги сменят.,https://www.dnes.bg/a/6-krimi/717491-mashtabna-aktsiya-sreshtu-kupeniya-vot-v-montansko-izzeha-dokumenti-na-pochinali,Мащабна акция срещу купения вот в Монтанско: Иззеха документи на починали,Негативен,0.82,недоволство,Негативен,0.92,тревога,Негативен,0.92,тревога
До 1 Какво против читалищата имаш?,https://www.dnes.bg/a/6-krimi/717491-mashtabna-aktsiya-sreshtu-kupeniya-vot-v-montansko-izzeha-dokumenti-na-pochinali,Мащабна акция срещу купения вот в Монтанско: Иззеха документи на починали,Негативен,0.58,раздразнение,Негативен,0.92,тревога,Негативен,0.92,тревога
И тримата ли са шведи?,https://www.dnes.bg/a/6-krimi/717491-mashtabna-aktsiya-sreshtu-kupeniya-vot-v-montansko-izzeha-dokumenti-na-pochinali,Мащабна акция срещу купения вот в Монтанско: Иззеха документи на починали,Неутрален,0.95,любопитство,Негативен,0.92,тревога,Негативен,0.92,тревога
"абе много акции станаха , дано не объркат да арестуват некой от наще",https://www.dnes.bg/a/6-krimi/717491-mashtabna-aktsiya-sreshtu-kupeniya-vot-v-montansko-izzeha-dokumenti-na-pochinali,Мащабна акция срещу купения вот в Монтанско: Иззеха документи на починали,Негативен,0.78,тревога,Негативен,0.92,тревога,Негативен,0.92,тревога
": , , ; . кой разбрал разбрал",https://www.dnes.bg/a/6-krimi/717491-mashtabna-aktsiya-sreshtu-kupeniya-vot-v-montansko-izzeha-dokumenti-na-pochinali,Мащабна акция срещу купения вот в Монтанско: Иззеха документи на починали,Неутрален,0.72,безразличие,Негативен,0.92,тревога,Негативен,0.92,тревога
"къде, от кой, колко, какво ... тиеа читалищната журналистика. ""един човек каза че евентуално ако може защото би трябвало може би окончателно ...",https://www.dnes.bg/a/6-krimi/717491-mashtabna-aktsiya-sreshtu-kupeniya-vot-v-montansko-izzeha-dokumenti-na-pochinali,Мащабна акция срещу купения вот в Монтанско: Иззеха документи на починали,Негативен,0.78,раздразнение,Негативен,0.92,тревога,Негативен,0.92,тревога
;)))) elektronno pravitelstvo...,https://www.dnes.bg/a/1-bulgaria/717461-srokat-za-otstranyavaneto-na-greshki-v-izbiratelnite-spisatsi-izticha-na-11-april,Срокът за отстраняването на грешки в избирателните списъци изтича на 11 април,Позитивен,0.72,развеселеност,Неутрален,0.92,спокойствие,Неутрален,0.92,спокойствие
"К'ви грешки баце? Вчера по новините казаха, че 6.5 мил. имали право да гласуват!!! Смятай к'во се случва? Докато не се въведе активна регистрация ниц оправия!",https://www.dnes.bg/a/1-bulgaria/717461-srokat-za-otstranyavaneto-na-greshki-v-izbiratelnite-spisatsi-izticha-na-11-april,Срокът за отстраняването на грешки в избирателните списъци изтича на 11 април,Негативен,0.88,недоволство,Неутрален,0.92,спокойствие,Неутрален,0.92,спокойствие
"а може ли още да се гласува с лична карта, снимана на телефона?",https://www.dnes.bg/a/1-bulgaria/717461-srokat-za-otstranyavaneto-na-greshki-v-izbiratelnite-spisatsi-izticha-na-11-april,Срокът за отстраняването на грешки в избирателните списъци изтича на 11 април,Неутрален,0.95,любопитство,Неутрален,0.92,спокойствие,Неутрален,0.92,спокойствие
отстранете най голямата грешка - прогресиста румен,https://www.dnes.bg/a/1-bulgaria/717461-srokat-za-otstranyavaneto-na-greshki-v-izbiratelnite-spisatsi-izticha-na-11-april,Срокът за отстраняването на грешки в избирателните списъци изтича на 11 април,Негативен,0.88,гняв,Неутрален,0.92,спокойствие,Неутрален,0.92,спокойствие
"Този ЦИК не може да бъде гарант за честни избори, там са кукли на конци, а кой дърпа конците на всички е ясно.",https://www.dnes.bg/a/1-bulgaria/717461-srokat-za-otstranyavaneto-na-greshki-v-izbiratelnite-spisatsi-izticha-na-11-april,Срокът за отстраняването на грешки в избирателните списъци изтича на 11 април,Негативен,0.95,недоверие,Неутрален,0.92,спокойствие,Неутрален,0.92,спокойствие
Радев е еманация на презрението и подигравката на олигархията ни към нас останалите.,https://www.dnes.bg/a/1-bulgaria/717450-rumen-radev-balgariya-ne-e-bedna-a-losho-upravlyavana-strana,"Румен Радев: България не е бедна, а лошо управлявана страна",Негативен,0.95,презрение,Негативен,0.82,недоволство,Негативен,0.82,недоволство
"tasi izvratena razvratna bg sadebna systema likvidirame totalno, vsichkiat personal uvolnenie i publichna zabrana za zaemane na vsiakakav vid deinost v darjavna bg administracia. snimkite i imenata im v black lista! ili ste ima masovi strelbi!",https://www.dnes.bg/a/1-bulgaria/717450-rumen-radev-balgariya-ne-e-bedna-a-losho-upravlyavana-strana,"Румен Радев: България не е бедна, а лошо управлявана страна",Негативен,0.98,гняв,Негативен,0.82,недоволство,Негативен,0.82,недоволство
Баце продължи тяхното крадливо дело...,https://www.dnes.bg/a/1-bulgaria/717450-rumen-radev-balgariya-ne-e-bedna-a-losho-upravlyavana-strana,"Румен Радев: България не е бедна, а лошо управлявана страна",Негативен,0.92,гняв,Негативен,0.82,недоволство,Негативен,0.82,недоволство
Боташ.,https://www.dnes.bg/a/1-bulgaria/717450-rumen-radev-balgariya-ne-e-bedna-a-losho-upravlyavana-strana,"Румен Радев: България не е бедна, а лошо управлявана страна",Неутрален,0.95,неутралност,Негативен,0.82,недоволство,Негативен,0.82,недоволство
parvata dama na upravitela iztarvala konia v riakata...,https://www.dnes.bg/a/1-bulgaria/717450-rumen-radev-balgariya-ne-e-bedna-a-losho-upravlyavana-strana,"Румен Радев: България не е бедна, а лошо управлявана страна",Негативен,0.72,тревога,Негативен,0.82,недоволство,Негативен,0.82,недоволство
"Толкова обичам бедните, че като дойда ще създам още повече такива!",https://www.dnes.bg/a/1-bulgaria/717450-rumen-radev-balgariya-ne-e-bedna-a-losho-upravlyavana-strana,"Румен Радев: България не е бедна, а лошо управлявана страна",Негативен,0.95,сарказъм,Негативен,0.82,недоволство,Негативен,0.82,недоволство
rradevi sa obiknoveni christianski teroristi.,https://www.dnes.bg/a/1-bulgaria/717450-rumen-radev-balgariya-ne-e-bedna-a-losho-upravlyavana-strana,"Румен Радев: България не е бедна, а лошо управлявана страна",Негативен,0.93,гняв,Негативен,0.82,недоволство,Негативен,0.82,недоволство
"Точно Радев ли ще направи държавата богата? Тази мантра, че ""държавата не е бедна, но много се краде"" сме го чували и от царя, и от Тодор Живков - все нарочени за месии. И нито един от двамата не успя да спре обезлюдяването и кражбите . Защото бяха част от крадците.",https://www.dnes.bg/a/1-bulgaria/717450-rumen-radev-balgariya-ne-e-bedna-a-losho-upravlyavana-strana,"Румен Радев: България не е бедна, а лошо управлявана страна",Негативен,0.92,разочарование,Негативен,0.82,недоволство,Негативен,0.82,недоволство
Na 19.4 za rradev tekme i out v oboriste pri ahmed dogan ;)))) pochiten prestapnik na rbg... a moje i pri aleksei po barzata pista...,https://www.dnes.bg/a/1-bulgaria/717450-rumen-radev-balgariya-ne-e-bedna-a-losho-upravlyavana-strana,"Румен Радев: България не е бедна, а лошо управлявана страна",Негативен,0.82,презрение,Негативен,0.82,недоволство,Негативен,0.82,недоволство
"България е не лошо управлявана,а абсолютно неграмотно управлявана защото:на избори ходят изплюскалите тройка кюфтета аборигени,""спечелили"" по стотачка скръндзи и,купените с държавни службици калинки-като изборен резултат е избран селяндурски дембелин,с някакво ""образование"",*** по възпитание,абсолютно ограничен и тесногръд индивид!Е какво очаквате като резултат?",https://www.dnes.bg/a/1-bulgaria/717450-rumen-radev-balgariya-ne-e-bedna-a-losho-upravlyavana-strana,"Румен Радев: България не е бедна, а лошо управлявана страна",Негативен,0.98,гняв,Негативен,0.82,недоволство,Негативен,0.82,недоволство
"Внимание! Прогресивни измамници на хоризинта! Този, като че не е бил от управляващите, а е гледал отстрани. И сега какво: Олигарсите ми са по-добри от олигарсите ти :) България не била бедна страна, а лошо управлявана, и този чак сега ли го разбра? Сигурно не е чак толкова умен :) Какво стана с Български възход, да не го преименуваха на Българско падение? Дали ще участва на изборите генерал Янев :)",https://www.dnes.bg/a/1-bulgaria/717450-rumen-radev-balgariya-ne-e-bedna-a-losho-upravlyavana-strana,"Румен Радев: България не е бедна, а лошо управлявана страна",Негативен,0.94,сарказъм,Негативен,0.82,недоволство,Негативен,0.82,недоволство
To тaka cu e! Harлegeн npuмep зa лoшo ynpaвлeнue e goroвopa c Бoтaш!,https://www.dnes.bg/a/1-bulgaria/717450-rumen-radev-balgariya-ne-e-bedna-a-losho-upravlyavana-strana,"Румен Радев: България не е бедна, а лошо управлявана страна",Негативен,0.92,разочарование,Негативен,0.82,недоволство,Негативен,0.82,недоволство
Румбата Бойчето Дидо Дебелия. Все наши ребята.,https://www.dnes.bg/a/1-bulgaria/717450-rumen-radev-balgariya-ne-e-bedna-a-losho-upravlyavana-strana,"Румен Радев: България не е бедна, а лошо управлявана страна",Позитивен,0.72,дружелюбие,Негативен,0.82,недоволство,Негативен,0.82,недоволство
"Хора, Не се вълнувайте толкова, ще има още от същото. Явно, като народ, не можем да излъчим и изберем можеши и мислещи за хората политици. Комунистическата номенклатура и агентура си ни управляваи ще продължат. Ако не е Радев, ще е Бойко, ако не е Бойко ще е Делян, ако не е Делян ще е друг подобен. Царе, Станищевци, Костовци и т.н. Просто не се смени номенклатурата. Прибраха парите и си държат властта и стават все по-брутални за обикновените хора и унищожават България, бавно и устойчиво.",https://www.dnes.bg/a/1-bulgaria/717450-rumen-radev-balgariya-ne-e-bedna-a-losho-upravlyavana-strana,"Румен Радев: България не е бедна, а лошо управлявана страна",Негативен,0.96,разочарование,Негативен,0.82,недоволство,Негативен,0.82,недоволство
"Да Радев, и ти носиш персонална вина за кражбите през последните 9 години! Предсрочни избори на килограм и служебни правителства! Назначи шарлатаните от ПП-ДБ, Киро простото - незаконно, погази Конституцията! Твое служебно правителство подписа Боташ и всеки ден плащаме на Турция по 1 милион евро! Ти Радев, виждаш ли ВИНАТА си, или ти е удобно само да критикуваш останалите?!",https://www.dnes.bg/a/1-bulgaria/717450-rumen-radev-balgariya-ne-e-bedna-a-losho-upravlyavana-strana,"Румен Радев: България не е бедна, а лошо управлявана страна",Негативен,0.98,гняв,Негативен,0.82,недоволство,Негативен,0.82,недоволство
"Народа като чуе Президент иси мисли ,че има правата на Тръмп, Макрон или Ердоган, само, че това са президентски републики, а ние сме парламентарна, в българия президента е само един чиновник, който преставлява България в разни незначими мероприятия и няма никаква сьила...",https://www.dnes.bg/a/1-bulgaria/717450-rumen-radev-balgariya-ne-e-bedna-a-losho-upravlyavana-strana,"Румен Радев: България не е бедна, а лошо управлявана страна",Негативен,0.86,разочарование,Негативен,0.82,недоволство,Негативен,0.82,недоволство
"Девет години като беше президент къде спа и не спря корупцията, с ядеше и пиеше на една маса с олигарсите. Съсипаха и плодородната земя на юг и всички мълчат. Страоят се блокчета по 4 етажа и се застрояват зелени площи, което е кощунство. Блокове под 9 етажа за големите градове не бива да се разрешават.",https://www.dnes.bg/a/1-bulgaria/717450-rumen-radev-balgariya-ne-e-bedna-a-losho-upravlyavana-strana,"Румен Радев: България не е бедна, а лошо управлявана страна",Негативен,0.95,гняв,Негативен,0.82,недоволство,Негативен,0.82,недоволство
Все едни и същи слагате начело на държавата. Няма кяк да се оправите.,https://www.dnes.bg/a/1-bulgaria/717450-rumen-radev-balgariya-ne-e-bedna-a-losho-upravlyavana-strana,"Румен Радев: България не е бедна, а лошо управлявана страна",Негативен,0.92,разочарование,Негативен,0.82,недоволство,Негативен,0.82,недоволство
