comment_text,article_url,article_title,comment_sentiment,comment_confidence,comment_dominant_emotion,article_title_sentiment,article_title_confidence,article_title_dominant_emotion,article_sentiment,article_confidence,article_dominant_emotion
"Цялата секта на Петрохан, веднага! В резерват! Коментиран от #28",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.86,гняв,Позитивен,0.72,надежда,Негативен,0.72,загриженост
СТЕ. ЗАПОЧНА СЕ ПРИ КИРО ТРЪПОТО. ТИ МЪНИЧКО СИ ПО ДОБЪР. НО НЕ СИ ИСТИНСКИ. ДНЕС ЕДНО УТРЕ ДРУГО. И СТИГА С ТОЗИ РАДЕВ. НЕ ТОЙ А ВИЕ СТЕ ПОРОЧНИТЕ. И ТОЙ АКО Е ТОЧЕН НИКОГА НЯМА ДА ВИ ПРОСТИ,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.94,гняв,Позитивен,0.72,надежда,Негативен,0.72,загриженост
"Асен Василев вдигна пенсиите на хората, а Бойко им подмяташе по 50 лв от джипката. Коментиран от #51",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.78,критичност,Позитивен,0.72,надежда,Негативен,0.72,загриженост
"Ааа, Асенка, прав си, че проблемът с цените и доходите става голям, ама ти си съставна част от него и можеш да допринесеш за решаването му, само ако се изметеш на момента",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.96,гняв,Позитивен,0.72,надежда,Негативен,0.72,загриженост
"То е ясно , че доходите МОГАТ да се вдигнат и да се прекъсне СПЕКУЛАТА ! Въпросът е : ЩЕ ГО НАПРАВИТЕ ЛИ ?",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.72,недоволство,Позитивен,0.72,надежда,Негативен,0.72,загриженост
Защото е сигурно че на него такъв му липсва,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.78,презрение,Позитивен,0.72,надежда,Негативен,0.72,загриженост
"Ако някой ви излъже веднъж - срамът е за него, ако същият човек ви излъже втори път по един и същи начин - срамът е за вас... Мислете преди да гласувате!",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.82,разочарование,Позитивен,0.72,надежда,Негативен,0.72,загриженост
Скапан измамник марш в затвора гад,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.98,гняв,Позитивен,0.72,надежда,Негативен,0.72,загриженост
"Точно пък ти не го вдигаш, девойко !",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.82,раздразнение,Позитивен,0.72,надежда,Негативен,0.72,загриженост
"Всичко е наред в България, няма инфлация, можем да изпращаме млн. евраци на бандерите и язовците.",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.87,недоволство,Позитивен,0.72,надежда,Негативен,0.72,загриженост
Напред и навътре с ППДБ-ЛГБТ. Коментиран от #18,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.72,сарказъм,Позитивен,0.72,надежда,Негативен,0.72,загриженост
имаш ли нещо за вдигане или и то е ампутирано като мозъка ти.Хасковски бек.,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.98,презрение,Позитивен,0.72,надежда,Негативен,0.72,загриженост
"Тоя си мисли, че народната песен ""Девойко мари хубава"" е писана специално за него...",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.78,ирония,Позитивен,0.72,надежда,Негативен,0.72,загриженост
Освен това увеличението на доходите ако не е свързано с повишаване на производителността на труда няма от къде другаде да дойде а от заеми. Явно за такъв пакет говориш. Но заемите трябва да се връщат което обрича следващите поколения на мизерия и бедност и дори на рабство . Нищо чудно пакистанците вече са тука.,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.93,тревога,Позитивен,0.72,надежда,Негативен,0.72,загриженост
Искам да кажа че ние ще си вдигнем доходите а за вас ще има голям пакет от Киро на парапета но първо се подмийте,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.86,презрение,Позитивен,0.72,надежда,Негативен,0.72,загриженост
"До коментар #12 от ""Розовото пони Денкоф 🌈🦄"": Напълно съм съгласен с вас, госпожо.",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Позитивен,0.78,одобрение,Позитивен,0.72,надежда,Негативен,0.72,загриженост
"Сopocнята твърди, че след влизането в еврозоната цените са се стабилизирали, нямало вече инфлация, а асанчо щях да ги овладява! Реторичния въпрос е кой лъже в случая?",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.92,гняв,Позитивен,0.72,надежда,Негативен,0.72,загриженост
"НАПЪВАМ ГО НА ЗАДНА ПРАШКА ,А ИН МИ РЕЧИ АРЕ МОЛИМ ТЕ ИЗКАРАЙ ГО АМА ПО НАВЪТРЕ.",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Позитивен,0.55,възбуда,Позитивен,0.72,надежда,Негативен,0.72,загриженост
"Ще вдигнете бабината си! Като бяхте с брадатия канадец,защо не ги вдигнахте?! От вашето кривителство започна масовото обедняване на хората в страната.Кирчо си хвана гащите и изчезна от политиката,време ти е и на тебе да се чупиш от нея.",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.98,гняв,Позитивен,0.72,надежда,Негативен,0.72,загриженост
"Тоя още не може да оправдае тия 18 милиарда за какво са похарчени и четири години загуби времето на Българите само с лъжи. Тук написа много правилно номер 7 ,че видяхме им лъжите и ако искаме пак да ни лъжат гладувайте пак за тях . Ония КЕШ е същото недоразумение, последните 4 години говори едни и същи глупости и буквално нарочно подписа такъв гаден договор за да ни набута пак да купуваме руски газ, на ушким щял бъде азерския.",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.97,гняв,Позитивен,0.72,надежда,Негативен,0.72,загриженост
"Много трудно е да обясниш това на прости хора, Асене. Виж коментарите. Само мисирки, плюят, пишат за педофили, нямат капка мозък. Тиквата го каза :лош материал Коментиран от #26",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.98,гняв,Позитивен,0.72,надежда,Негативен,0.72,загриженост
Аз вярвам на Асен. Те и съдружниците му ... вярваха.,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Позитивен,0.78,доверие,Позитивен,0.72,надежда,Негативен,0.72,загриженост
"До коментар #24 от ""Мата Хари"": Ти любовницата с иска на Асен ли си?",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.78,подигравка,Позитивен,0.72,надежда,Негативен,0.72,загриженост
Тоя няма ли да се махне? Писна ми от него. Нещастник.,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.98,гняв,Позитивен,0.72,надежда,Негативен,0.72,загриженост
"До коментар #1 от ""Пълен Провал"": Лама Петрохан Педофил Жълтопаветници ,и децата разбраха че това са опорните точки на Пеевскоборисовата ОПГ. Коментиран от #50",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.93,гняв,Позитивен,0.72,надежда,Негативен,0.72,загриженост
"100 милиона за ""бизнеса"", а 20 милиона за 6,5 милиона население! Ето, това е либералната политика на сегашното соросоидно правителство. Който пее такива политкоректни кретенщини, е по безмозъчен от египетска мумия. Народа вече е много гневен на всички политически толупи. И такива малоумни писания го правят още по гневен, и ще го изкарат по улиците още по бързо!!! Е да видите, когато акъл дават тъпаци, които са Харвард, или Урсула образовани. 40% повишено каско от вчера, само за година. Юли 2025 фирма ми повиши услугите и тя с 40%. Домати 5 юро, агнешко миналата година 16 лв., тази 20 юрошита. Масло миналата година преди юрошита 4.70 лв., тази година над 9 лв. За ток и студена вода не говорим повишения, те не влизат в статистиката. Двоен ценови шок, прием Юрошит и криза горива. Представител на Територията в ЕЦБ. Да му мислят банковите служители, които не подкрепиха протестите срещу Юрошита. Окончателно ни заробиха, за разлика от Полша, че и цифров става. От въвеждането на евраците няма никаква инфлация! Тъй говореха Боко, Ампарцумян, знайни и незнайни есперти и много ментъраджии и шмекери. Излъгаха народа и трябва да бъдат изритани отзаде на изборите!",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.98,гняв,Позитивен,0.72,надежда,Негативен,0.72,загриженост
"""Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет"" - и като въведете Нексото? А после пак ще се прегърнете с Делянчо и Тиквоча?",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.92,гняв,Позитивен,0.72,надежда,Негативен,0.72,загриженост
"Като чета коментарите, тоя народ си заслужава ГЕРБ и 150 евро пенсия.",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.92,разочарование,Позитивен,0.72,надежда,Негативен,0.72,загриженост
"Антикризисния пакет, ако включва заем, не ни го предлагайте, а ако не включва заем, вероятно ще го предложат и другите партии.",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.72,скептицизъм,Позитивен,0.72,надежда,Негативен,0.72,загриженост
"Oooooo, вдигането на доходите с помощта на огромни външни заеми е коронният номер на кръглата Ло е на топ чи ца, всички го знаем😂😂😂 Интересен ще е цирковият фокус с антикризисния розов пакет.....аааааа, сетих се - пак ще се вземат заеми, паричките ще се опаковат в пакетчета и ще бъдат раздадени антикризисно. После, след отчисленията от 30% джобни, розовите понита дружно ще отлетят за островите в топлите морета, където с кеф ще си ги похарчат! Гениално, нали?",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.95,сарказъм,Позитивен,0.72,надежда,Негативен,0.72,загриженост
"не можете вие ! За гербаджиите сте немогачи, за Радев сте шарлатани, а за Народа сте и двете !",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.95,гняв,Позитивен,0.72,надежда,Негативен,0.72,загриженост
"С едни 20 млрд евро нов дълг една година ще поживеете прилично, преди да си изпратите децата при западните господари да им мият задниците.",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.94,гняв,Позитивен,0.72,надежда,Негативен,0.72,загриженост
"При положение ,че ви управляват същите като в просия е нормално и всичко в икономиката на бг да е като в просия.....Путин е изправен пред криза в търговията на дребно: 40% от магазините са застрашени от затварянеДокато войната в Украйна поглъща ресурси, а санкциите намаляват приходите, кризата вече засяга търговския сектор на страната. Бизнесът под напрежение Секторът на търговията на дрехи в Русия преживява рязък спад, като до 40% от магазините са изложени на риск от затваряне до 2026 г., според представители на индустрията, Търговците на дребно казват, че намаляващото търсене, нарастващите наеми, по-високите данъци и конкуренцията от онлайн платформите тежат силно върху пазара.Същото е положението и в бг на база Осигурителна тежест и нова минимална заплата!Разликата между бг и просия е в бг уж няма война..........това са лъжи и хвърляне на пожелания.Няма как да стане с еднии същи хора да се предизвикат кризи и същите да ги преодоляват.Историята доказва -едни се раждат крадци и убийци ,а другите са работливи ,смирени и градивни!Не може едни и същи да са и двете!Докато не се разкрие истината за ктб,докато не се разкрие истината за пирамидите и банките,за хиперинфлацията нищо няма да се промени тук.Колкото в просия върви икономиката толкова и тук!Едни и същи за крадлъовците!!!",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.96,гняв,Позитивен,0.72,надежда,Негативен,0.72,загриженост
"Асене помним 8млрд на година отгоре ако не е ГЕРБ. Е 8 милиарда отгоре не видяхме, но 9 милиарда за две седмици видяхме, за вдигане на инфлацията. И какво стана от всичко сега покупателната възможност е по-ниска сравнение с 2020 година при лошия Бойко. Само че при Бойко всяка година имаше финансов излишък и се натрупваха буфери, които ти и тях опоска та магистрала Хемус още е до никъде и добре, че беше последната година та започна да се строи пак. На двойни цени заради теб и хомо бандюгите ти. Е поне вече в Гърция не ни е скъпо, защото цените се изравниха. Даже хората ходят до Гърция да си пазаруват, че някои неща са по-евтини. Моля те изчезни биеш всички по противност даже и Станишев.",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.98,гняв,Позитивен,0.72,надежда,Негативен,0.72,загриженост
Големият пакет на Клецов е за мен. А за вас един още по-голям антикризисен пакет!,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Позитивен,0.72,ентусиазъм,Позитивен,0.72,надежда,Негативен,0.72,загриженост
"Тия дето теглят най-големите заеми и имаха най-големия администрационен апарат, с най-много външни съветници и най много НПО-та.. Те ще оправят държавата.. Мдобре",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.86,сарказъм,Позитивен,0.72,надежда,Негативен,0.72,загриженост
"Вече и добре да лъжеш не можеш ! Дали има още наивни глупаци които да вярват в Дядо Мраз на ППДБ ? Коментиран от #45 , #56",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.95,гняв,Позитивен,0.72,надежда,Негативен,0.72,загриженост
Все за големи пакети мисли,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Неутрален,0.72,неутралност,Позитивен,0.72,надежда,Негативен,0.72,загриженост
ПитЧ ! С Кръпки ! Тази Работа ! Не Става ! Коментиран от #44,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.86,разочарование,Позитивен,0.72,надежда,Негативен,0.72,загриженост
"До коментар #43 от ""ПитЧ !"": Няма Как Да Изхраниш ! Роднините си В България ! Ако Гениите В България ! Не Работят ! А За Да Работят ! Трябва ! Да Им Платиш ! Вместо Да ги Мачкаш С Данаци ! И Космически Разходи ! Ама от де ? Толкова Акъл ! У Един Счетоводител !",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.93,гняв,Позитивен,0.72,надежда,Негативен,0.72,загриженост
"До коментар #41 от ""АЗ БЕЗПАРТИЙНИЯТ ДЕМОКРАТ"": И На Който и Да Било ! От Останалите ! Тая ! Игра ! Свърши !! Гащигте Са Оклепани ! И Изчистване ! Няма !",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.95,гняв,Позитивен,0.72,надежда,Негативен,0.72,загриженост
Още от когато Радев в довлече сте ясни - не ставате.,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.92,презрение,Позитивен,0.72,надежда,Негативен,0.72,загриженост
Не го можете,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.92,презрение,Позитивен,0.72,надежда,Негативен,0.72,загриженост
"оглави Две министерства. Със спестените средства ще се купи кран, за да се демонтира борисов и пеевски. Смях!",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.72,насмешка,Позитивен,0.72,надежда,Негативен,0.72,загриженост
"Кокорчо, пак ли ще теглиш заеми по 500 млн всеки понеделник?",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.88,недоволство,Позитивен,0.72,надежда,Негативен,0.72,загриженост
"До коментар #28 от ""Толкова просто"": Кое пеевско-борисово опг??? Това с което ппдб бяха в коалиция ли??? Моментално опандизване на тия антибългари от герб, дпс и ппдб!!!",https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,Негативен,0.96,гняв,Позитивен,0.72,надежда,Негативен,0.72,загриженост
