comment,sentiment,confidence,dominant_emotion,article_url
"Задава се нов политически сезон с висока влажност – от сълзите на тези, които до вчера се упражняваха в прякори, а днес трябва да свикват с дългото присъствие на ""Зеления чорап"". Ще трябва да проявите малко християнско смирение. Все пак търпението е добродетел, особено когато нямаш друг избор.",Негативен,0.82,сарказъм,https://www.mediapool.bg/mihaela-dotsova-ot-progresivna-bulgaria-stana-predsedatel-na-ns-s-podkrepata-na-gerb-i-dps-news382914.html
"Да, виждам набитите канчета на разтурената секта на шарлатаните и ДеБилите! ;)",Негативен,0.95,презрение,https://www.mediapool.bg/mihaela-dotsova-ot-progresivna-bulgaria-stana-predsedatel-na-ns-s-podkrepata-na-gerb-i-dps-news382914.html
"Загледах и не знам защо се сетих за Ива Митева. Дано на подсъзнателно ниво, тази асоциация не е била адекватна. Така ли ми се стори или наистина Демерджиев седеше до субект ""10"" и водеха непринуден, казуален разговор. Друго, което прави впечатление, е че на първи ред-център седят много генерали...",Негативен,0.62,тревога,https://www.mediapool.bg/mihaela-dotsova-ot-progresivna-bulgaria-stana-predsedatel-na-ns-s-podkrepata-na-gerb-i-dps-news382914.html
"Наистина, какво стана с Гълъб Донев? Говореше се, че той ще бъде председател на НС. А сега за какъв го спрятат?",Неутрален,0.72,недоумение,https://www.mediapool.bg/mihaela-dotsova-ot-progresivna-bulgaria-stana-predsedatel-na-ns-s-podkrepata-na-gerb-i-dps-news382914.html
Ха-ха!Много бързо отеца ти от Славяновската деревня се прегърна с братя си Бойко и Делян..,Негативен,0.74,сарказъм,https://www.mediapool.bg/mihaela-dotsova-ot-progresivna-bulgaria-stana-predsedatel-na-ns-s-podkrepata-na-gerb-i-dps-news382914.html
"Зеления чорап нанесе непреодолими щети на президентската институция в България с това, че се отказа от основната ѝ роля и я използва за това да гради политическа кариера, която е в ущърб на националните интереси. Доста дълго разиграваха театри с Борисов и Певски, какви големи врагове са, но дойде часа на истината. Радев има мнозинство в парламента и Ганьо може само да ""духа супата"".",Негативен,0.96,гняв,https://www.mediapool.bg/mihaela-dotsova-ot-progresivna-bulgaria-stana-predsedatel-na-ns-s-podkrepata-na-gerb-i-dps-news382914.html
"Е че Ивайло Мирчев какъв е?! Христо Бойкикев?! Ами гуруто Прокопиев?! Ами апологетите Дайнов , Инджев Дремджиев, Илиян Василев?! Все отрочета на комунистическата партия или доносници на ДС.",Негативен,0.95,гняв,https://www.mediapool.bg/mihaela-dotsova-ot-progresivna-bulgaria-stana-predsedatel-na-ns-s-podkrepata-na-gerb-i-dps-news382914.html
"Българското общество е унищожено, в това общество няма авторитети. Новият председател на НС е млад и високо образован човек, ако също е и способен да изпълнява съвестно функциите на шеф на НС, значи си е на мястото.",Негативен,0.78,разочарование,https://www.mediapool.bg/mihaela-dotsova-ot-progresivna-bulgaria-stana-predsedatel-na-ns-s-podkrepata-na-gerb-i-dps-news382914.html
Трогателни примитиви.,Негативен,0.72,презрение,https://www.mediapool.bg/seriozna-politicheska-greshka-pp-i-db-se-raztsepiha-v-dve-grupi-v-noviya-parlament-obnovena-news382894.html
"Най уродливата и престъпна коалиция в новата история на България се стана от едноглав змей на двуглав. Тяхното единение е само на основата руската омраза. Там най-активен беше MaнаF Пейков, който между другото пееше страхотни руски песни, но него вече го няма и сега ПП и ДБ не могат да се разберат кой ще бъде родител 1 и кой ще бъде родител 2...",Негативен,0.97,гняв,https://www.mediapool.bg/seriozna-politicheska-greshka-pp-i-db-se-raztsepiha-v-dve-grupi-v-noviya-parlament-obnovena-news382894.html
За твое съжаление /защото не го разбираш/ ти си нещастник.,Негативен,0.98,гняв,https://www.mediapool.bg/seriozna-politicheska-greshka-pp-i-db-se-raztsepiha-v-dve-grupi-v-noviya-parlament-obnovena-news382894.html
"Точно така - пълно изиграване на избирателите на ПП-ДБ - защо Асен василев не взе това решение преди да гласуваме. Или това е същата тактика - траене, нищо да не се знае - за да излъжем хората и сега да се присъединят към Радев. Много лошо, много подло - дано сега истински десните да се обединят. И още един въпрос към василев - затова ли напуснаха К.Петков, Лена Бориславова - защото не искат да се лепнат към ПБ?",Негативен,0.96,гняв,https://www.mediapool.bg/seriozna-politicheska-greshka-pp-i-db-se-raztsepiha-v-dve-grupi-v-noviya-parlament-obnovena-news382894.html
"Ние видехме, кък бей0сипе0пето са сгромолеса пред наште смаяньи ОКИ... Не сакам да съм кофти прорѝок, ама и ДЯСНОТО по Нашенско /не от вчера!/ е наблъскано ОТ агентурни лимонки?! Виждаме днеска, кък едните /нормални есатлантски граждани/ сочат къмто ген. ""ЖАБА"" као предатель, а другите ненавижьдат Асенько /""меката китка""/... Мисла, и ВИ казвам: Щом са разделиха, НИЕ - не сме! Нека да ги видиме парларементарно, де та са вика. СЕТНЕ - ний ше се провикнеме отново. ПЛОЩАДИТЕ, па и булевардните им притоци, …Прочети целия коментар па и градските и селските мегдани, все йоще не са ни забранени за ПРОТЕСТНИ вълнувания, доколкото имам представа от НПК-то... Ако Рундьо Решетката не ни ги спре за уПУТтреба, нале. Хо-хо. Айде, леката!",Негативен,0.86,гняв,https://www.mediapool.bg/seriozna-politicheska-greshka-pp-i-db-se-raztsepiha-v-dve-grupi-v-noviya-parlament-obnovena-news382894.html
Хасенчо ше ги докара до извън парламента на следващите избори. С неговите ... пепедебейски номера.,Негативен,0.86,презрение,https://www.mediapool.bg/seriozna-politicheska-greshka-pp-i-db-se-raztsepiha-v-dve-grupi-v-noviya-parlament-obnovena-news382894.html
"Защо, сега имаме избор : умни или красиви.",Неутрален,0.62,ирония,https://www.mediapool.bg/seriozna-politicheska-greshka-pp-i-db-se-raztsepiha-v-dve-grupi-v-noviya-parlament-obnovena-news382894.html
да си го кажем така: при това мнозинство на льотчика . . . малко ще е значението на това дали опозицията формално е в една или в 2 групи. (руско-cвuнckuте мyтpu от гЭрб-дпсЭ-въZр. не ги броя към опозицията - те са си там за още престъпления с/у България - тва не е опозиция. . .),Негативен,0.92,гняв,https://www.mediapool.bg/seriozna-politicheska-greshka-pp-i-db-se-raztsepiha-v-dve-grupi-v-noviya-parlament-obnovena-news382894.html
"Започвам да имам съмнения, че това разделение се дължи на отношението към бъдещото управление на другаря Гадев.",Негативен,0.72,съмнение,https://www.mediapool.bg/seriozna-politicheska-greshka-pp-i-db-se-raztsepiha-v-dve-grupi-v-noviya-parlament-obnovena-news382894.html
"Фалстарт , за който вината се носи изцяло от ПП. Хората ,които дадоха гласа си за ПП -ДБ гласуваха за единна формация в парламента, а не за две отделни. Това е чиста подигравка с избирателите и ще има последици.",Негативен,0.95,гняв,https://www.mediapool.bg/seriozna-politicheska-greshka-pp-i-db-se-raztsepiha-v-dve-grupi-v-noviya-parlament-obnovena-news382894.html
"Благодаря на пепейците и дебейците ,че ми четете коментарите . Четете ги и вие ще поумнеете.",Негативен,0.68,сарказъм,https://www.mediapool.bg/posledni-chasove-predi-finalnoto-reshenie-shte-se-raztsepi-li-pp-db-news382852.html
"Какъвто народът, такива и коментарите му",Негативен,0.82,разочарование,https://www.mediapool.bg/posledni-chasove-predi-finalnoto-reshenie-shte-se-raztsepi-li-pp-db-news382852.html
Воя на свинските трошляци и рева на кремълските под-логи е музика за ушите ми.,Позитивен,0.78,злорадство,https://www.mediapool.bg/posledni-chasove-predi-finalnoto-reshenie-shte-se-raztsepi-li-pp-db-news382852.html
"Ама те, преференциите, затова съществуват. Да може избирателят да "" коригира"" според волята си партийната листа. Хубаво е, че се използват преференциите.:)",Позитивен,0.92,одобрение,https://www.mediapool.bg/posledni-chasove-predi-finalnoto-reshenie-shte-se-raztsepi-li-pp-db-news382852.html
"Това ще е най-голямата глупост, ако го направят. Имаше идея за предварителен (вътрешен) вот за определяне на листите - нищо! На някои не им стана ясно, че ""парашутистите"" на челните места в листите са нежелани от избирателите и затова се гласува преференциално! Избирателят иска някой, който да представлява неговите проблеми, неговото населено място, който познава и при това е желателно лично, а не само от телевизора!",Негативен,0.96,гняв,https://www.mediapool.bg/posledni-chasove-predi-finalnoto-reshenie-shte-se-raztsepi-li-pp-db-news382852.html
"Защо да нямат аргументи, Боряна? Имат. Ние с Вас сме най-силният аргумент. :) Не желаем да ги виждаме разпокъсани. Не желаем да са излъгали вота ни на парламентарните избори, когато сме гласували за единна формация. (Аз например съм гласувала за листа в София с водач Николай Денков, а съм от ДСБ.) Фактически с вота си ние сме легитимирали коалиционната формула. Ако това не разбират политиците от ПП и в частност Асен Василев, чиито интелектуални и волеви качества заслужават уважение, значи не стават за политици. :)",Негативен,0.72,разочарование,https://www.mediapool.bg/posledni-chasove-predi-finalnoto-reshenie-shte-se-raztsepi-li-pp-db-news382852.html
"Закривай тази шарлатанска секта! ,)",Негативен,0.95,гняв,https://www.mediapool.bg/posledni-chasove-predi-finalnoto-reshenie-shte-se-raztsepi-li-pp-db-news382852.html
"Не е честно да е се решава на парламентарна група. Да България има повече представители. Правилният подход е лидерска среща. Но се опасявам че Мирчев и Божанов нямат достатъчно аргументи, а както знаем Василев всяка негова дума е пирон в стената. Все пак най- добре да останат еднни в НС, по начинт по който сме гласували за тях, иначе не виждам добри последици.",Негативен,0.82,тревога,https://www.mediapool.bg/posledni-chasove-predi-finalnoto-reshenie-shte-se-raztsepi-li-pp-db-news382852.html
Хайде сега да коментираш и другите факти: 1. КОЙ заедно с орбан и фицо шантажираше ЕК за да може пУтЬю да получи дерогация през която да заобикаля нефтеното ембарго?; 2. КОЙ продължи да транZZитира гаZ дори след като гаZпром наруши всички договори?; 3. КОЙ всеки път е гласуваше срещу предоставянето на военна помощ на Украйна?; 4. КОЙ тормозеше и прогонваше украинските бежанци?; 5. КОЙ се хвърли да защитава имуществото на лукойл срещу законните действия на българското правителство по спасяванене на Нефтохим?,Негативен,0.95,гняв,https://www.mediapool.bg/posledni-chasove-predi-finalnoto-reshenie-shte-se-raztsepi-li-pp-db-news382852.html
"Колкото и да манипулираш ДеБилно фактите истината е следната - изгонването на пУтинистанските агенти и събарянето на МОЧА се случи въпреки съпротивата на пУ/атков и са негова заслуга точно колкото изгряването на слънцето. Първото: стана след безпрецедентен натиск от американците да бъде разтурен центърът за координация на диверсии на територията на Балканите и дори цяла Европа; Второто: Събарянето на МОЧА беше предложено от кого? - Борисов и Пеевски, докато пУ/атков и лигльото рапър обикаляха медиите …Прочети целия коментар и твърдяха, че ""...не трябва да се събаря, трябва да се съхрани за иZториата!"". Трето: нима твърдиш, че Борисов и Габриел цели 9 месеца почтенно подкрепяха чуждо за тях правителство на мардата денков и когато дойде време за ротация провалиха собственото си...? Доста ДеБилно...",Негативен,0.96,гняв,https://www.mediapool.bg/posledni-chasove-predi-finalnoto-reshenie-shte-se-raztsepi-li-pp-db-news382852.html
"дсб си дават сметка, че са само шета устати/гласовити хпра. Скоро и евродепутат не могат запрати.",Негативен,0.86,презрение,https://www.mediapool.bg/dsb-se-obyavi-protiv-razdelyaneto-na-pp-i-db-news382823.html
Така става след разкопките в Търново !!!,Негативен,0.68,възмущение,https://www.mediapool.bg/dsb-se-obyavi-protiv-razdelyaneto-na-pp-i-db-news382823.html
"""Новите Братушки"" нещо не могат да маршируват в такт !!! Сигурна на някой отворите са им по-охлабени !!! Имам един въпрос: - Дали телесно е увреждане ако разхлабен си отзад ? Зная че тук ще има доста хора които ще ми отговорят от опит!",Негативен,0.94,презрение,https://www.mediapool.bg/dsb-se-obyavi-protiv-razdelyaneto-na-pp-i-db-news382823.html
"Интересно как хора със знаме на чужда държава на профила си станаха най-големите капацитети по българска вътрешна политика. Вие си карайте със Зеленски, докато ви дойде акълът, пък ние тук сами ще преценим кой да си изберем за президент. Малко повече смирение не би ви навредило, вместо да размахвате пръст на нация, която ви помага.",Негативен,0.92,раздразнение,https://www.mediapool.bg/dsb-se-obyavi-protiv-razdelyaneto-na-pp-i-db-news382823.html
"Нело, Нело с това килийно образование, къде се буташ ? Марш в дупката от която си изпълзяла!",Негативен,0.98,гняв,https://www.mediapool.bg/dsb-se-obyavi-protiv-razdelyaneto-na-pp-i-db-news382823.html
"ех, andrei, утре-вдругиден ще осъмнем:) Обаче Нейнски, хм...",Неутрален,0.62,скептицизъм,https://www.mediapool.bg/dsb-se-obyavi-protiv-razdelyaneto-na-pp-i-db-news382823.html
"на мене дедо ми е савецки генерал, бе ль*ль*о. Тва не ми пречи да имам нормален мозък. Почни сега лекция за Костов и оня институт по кво беше. Съберете се там и обмислете нови опорки на по няколко водки и още нещо",Негативен,0.87,гняв,https://www.mediapool.bg/dsb-se-obyavi-protiv-razdelyaneto-na-pp-i-db-news382823.html
"Тия работи ( "" наратива"", дето вика другарката neli от #24) - в ""Рашистки гласове"" на Явор Дачков. Как за толкова много години сте си все същите комуноченгета и как за толкова много години не си сменихте миризливата кухня!",Негативен,0.96,гняв,https://www.mediapool.bg/dsb-se-obyavi-protiv-razdelyaneto-na-pp-i-db-news382823.html
"72% ОЛП при Ф.Д. Нарязахте 1-4 реактор. Продадохте Нефтохим на руснаците! Когато ви предупреждаваха да не го правите! От ПосолствоТО! АнглийскоТО! Отидоха на крака при надеТО! Костов, външната министърка и тоя като НСС ОДОБРИХА продажбата! Останалото продадохте на комунистите! Не премахнахте корумпираните от листите. /Петя Владимирова/ Издигнахте внука на ВКР генерал за кмет. Седяхте в скута на Пеевски, където опраскахте конституцията с Борисов. Заедно д Борисов и Пеевски ходите на килимчето в укро посолството за медали! За вашите медали България плаща МИЛИАРДИ! В заеми, които НИКОГА няма да се върнат!",Негативен,0.98,гняв,https://www.mediapool.bg/dsb-se-obyavi-protiv-razdelyaneto-na-pp-i-db-news382823.html
Социално маргинализиран индивид с тежки сексуални проблеми.,Негативен,0.92,презрение,https://www.mediapool.bg/yotova-podpisa-ukaza-za-svikvaneto-na-parlamenta-news382818.html
"Прав си, колкото беше права майка ти на матрака под моста.",Негативен,0.98,презрение,https://www.mediapool.bg/yotova-podpisa-ukaza-za-svikvaneto-na-parlamenta-news382818.html
"Толкова много простотия може да има само във бивш фен на Костадинка,които сега е нахлузил зелени чорапи.",Негативен,0.95,презрение,https://www.mediapool.bg/yotova-podpisa-ukaza-za-svikvaneto-na-parlamenta-news382818.html
"Лустро оставям покрай на маека ти устата, мутренски слуга нещастен",Негативен,0.98,гняв,https://www.mediapool.bg/yotova-podpisa-ukaza-za-svikvaneto-na-parlamenta-news382818.html
"Падна ти лустрото, направо блесна!",Негативен,0.88,сарказъм,https://www.mediapool.bg/yotova-podpisa-ukaza-za-svikvaneto-na-parlamenta-news382818.html
"С две резби съм, ако случайно се окажеш п.тка (пишеш като такава).",Негативен,0.95,гняв,https://www.mediapool.bg/yotova-podpisa-ukaza-za-svikvaneto-na-parlamenta-news382818.html
Ти червен с лява резба? Отврат.,Негативен,0.97,отвращение,https://www.mediapool.bg/yotova-podpisa-ukaza-za-svikvaneto-na-parlamenta-news382818.html
"Готово е да го оближеш, гербав паляк ;)",Негативен,0.92,презрение,https://www.mediapool.bg/yotova-podpisa-ukaza-za-svikvaneto-na-parlamenta-news382818.html
Цъфна ти червеното д-у-п-е най накрая.,Негативен,0.88,презрение,https://www.mediapool.bg/yotova-podpisa-ukaza-za-svikvaneto-na-parlamenta-news382818.html
"Боташ е проект за НАМАЛЯВАНЕ НА РУСКИЯ ЕНЕРГИЕН МОНОПОЛ върху България и се чудя защо ""десните"" и ""про-европейски"" ГЕРБ толкова лаят срещу мерки срещу Русия. А, сетих се. Потапяй се обратно в кенефа и първо виж какво е Боташ, преди да с.реш.",Негативен,0.95,гняв,https://www.mediapool.bg/yotova-podpisa-ukaza-za-svikvaneto-na-parlamenta-news382818.html
"Определено износи снимката си отпреди 30 години, която още ползва под ""статиите"" (вижте актуалната ѝ харошая муцуна).",Негативен,0.92,презрение,https://www.mediapool.bg/gerb-analizira-izbornite-rezultati-v-plovdiv-pri-zakriti-vrata-news382812.html
андролката дали износи рибарските батуши?,Неутрален,0.72,любопитство,https://www.mediapool.bg/gerb-analizira-izbornite-rezultati-v-plovdiv-pri-zakriti-vrata-news382812.html
На снимката Бай Тошо,Неутрален,0.95,спокойствие,https://www.mediapool.bg/gerb-analizira-izbornite-rezultati-v-plovdiv-pri-zakriti-vrata-news382812.html
"в момента герб е . . . клозетна чиния с голЕЕЕмо лajно в нея и със спряна в момента вода. И трябва да намерят от некъде барем една кофа вода и да си отпушат клозета от тоя бОк(о) . . . . . . * езикова справка: думата „бок“ (bok) на турски език означава буквално лajнo, uзnpaжнeнue, гoвнo",Негативен,0.98,отвращение,https://www.mediapool.bg/gerb-analizira-izbornite-rezultati-v-plovdiv-pri-zakriti-vrata-news382812.html
"такъв ми беше и . . . пресантиманът към тва нещо ""анролова"" . . . Загледах се из долните текстове, само защото некви бабо-деди, бидейки изтрещели по борисов, ми цитират неква, дето приплаква, че некви други са изтрещели по радев. . . . . . А диагнозата им, всъщност, е същата - фиксация по некви комунисти - национални предатели . . .",Негативен,0.92,гняв,https://www.mediapool.bg/gerb-analizira-izbornite-rezultati-v-plovdiv-pri-zakriti-vrata-news382812.html
"А! - брои се! - анализът си е анализ, независимо от желанието на анализирания борисов. . .",Неутрален,0.62,ирония,https://www.mediapool.bg/gerb-analizira-izbornite-rezultati-v-plovdiv-pri-zakriti-vrata-news382812.html
"Тая, която я еб.аха и Карбовски, и Волгин. Друго, смятам, не ти трябва да знаеш за тази ""авторка"".",Негативен,0.98,презрение,https://www.mediapool.bg/gerb-analizira-izbornite-rezultati-v-plovdiv-pri-zakriti-vrata-news382812.html
"""закрити врата"" е 'вратата към властта', която се затвори пред борисов и партията му герб завинаги. . . . . . И коя е тая андролова? - новата бенофска с лека пареза и с тежка извратена фиксация по бОко?",Негативен,0.96,презрение,https://www.mediapool.bg/gerb-analizira-izbornite-rezultati-v-plovdiv-pri-zakriti-vrata-news382812.html
Борисов- ОСТАВКА!,Негативен,0.85,гняв,https://www.mediapool.bg/gerb-analizira-izbornite-rezultati-v-plovdiv-pri-zakriti-vrata-news382812.html
"Андролова първо да си събере провисналата руска карантия обратно в миризливата слива, после да се прави на Александър Дюма.",Негативен,0.98,гняв,https://www.mediapool.bg/gerb-analizira-izbornite-rezultati-v-plovdiv-pri-zakriti-vrata-news382812.html
"Този турлюгювеч е покрит с мълчанието на Румен Радев, така изглежда мъдър, премислен и актуален, нужен на народното дело за освобождение от капитализма.",Негативен,0.82,сарказъм,https://www.mediapool.bg/koya-formatsiya-kade-shte-sedi-v-plenarnata-zala-news382808.html
"Не е ли по-важно кой за какво се бори?! ""Прогресивна България"" се състои от три партии: ПД ""Социалдемократи"" е ключовия мадатоносител, ""Движение за радикална промяна ""Българска пролет"" и ""Български съюз за директна демокрация"". Социалдемократите искат свобода, справедливост, солидарност. Мисля, че и без да се борят за тях, ние ще им ги дадем. Смятат, че изпреварват времето си, но ние не мислим така, направили са обратно броене. Досега са се борили за местната …Прочети целия коментар власт, сега искат повече. Държат на няколко социални законопроекта и това е всичко. ДРП ""Българска пролет"" - искат да променят политико-икономическия модел. Представяте ли си да премахнат пазарната икономика?! Искат премахване привилегиите на властта. Тогава властта какво е?! Искат национализация на енергетиката, това ли е?! Наистина?! ""БС за директна демокрация"" - демокрацията според тях трябва да е форма на управление. Смятат, че покриват целия политически спектър. Мислят дори, че техни хора са участвали в Априлското въстание...Вие решете какво е това?!",Негативен,0.86,скептицизъм,https://www.mediapool.bg/koya-formatsiya-kade-shte-sedi-v-plenarnata-zala-news382808.html
Много се съмнявам Борисов и Пеевски да се появят в пленарната зала и въобще в Народното събрание. Представяте ли си каква жалка картинка ще бъдат и какви шеги и закачки ще чуят?,Негативен,0.92,презрение,https://www.mediapool.bg/koya-formatsiya-kade-shte-sedi-v-plenarnata-zala-news382808.html
За Борисов и Свинята - специална кочина ! Да си грухтят. ^^,Негативен,0.95,презрение,https://www.mediapool.bg/koya-formatsiya-kade-shte-sedi-v-plenarnata-zala-news382808.html
"Гледали са броенето, но не знаят, дали всички гласували са преброени.",Неутрален,0.78,несигурност,https://www.mediapool.bg/nad-310-000-balgari-sa-gledali-videobroeneto-na-byuletinite-edva-017-ot-sik-sa-bez-zapis-news382802.html
"Там Радев е спечелил 100%, Прасето и тиквата са с по 110:%",Негативен,0.82,презрение,https://www.mediapool.bg/nad-310-000-balgari-sa-gledali-videobroeneto-na-byuletinite-edva-017-ot-sik-sa-bez-zapis-news382802.html
"310000 са гледали броенето и не са се обадили на Кандев и Дечев, че гласове за Героя на Украйна се пишат за РуZZкий Льотчик?!",Негативен,0.86,възмущение,https://www.mediapool.bg/nad-310-000-balgari-sa-gledali-videobroeneto-na-byuletinite-edva-017-ot-sik-sa-bez-zapis-news382802.html
"Тово не изключва ала балата с машините и наше МВР.Каза го Асенка,не аз.Никой не може да ме убеди че ПБ спечели честно изборите.",Негативен,0.86,недоверие,https://www.mediapool.bg/nad-310-000-balgari-sa-gledali-videobroeneto-na-byuletinite-edva-017-ot-sik-sa-bez-zapis-news382802.html
"Алчния генерал веднага да се маха, толко не можаха да намерят лидер след Костов.",Негативен,0.95,гняв,https://www.mediapool.bg/asen-vasilev-stava-deputat-ot-plovdiv-manol-peikov-ostava-izvan-parlamenta-news382721.html
"""Пляс, пляс педалите. Водно колело"" ;)",Позитивен,0.72,забавление,https://www.mediapool.bg/asen-vasilev-stava-deputat-ot-plovdiv-manol-peikov-ostava-izvan-parlamenta-news382721.html
"Народните представители могат да се квалифицират различно. Напр. могат да се разделят на ефективни и ефектни. Панов беше от ефективните, М. Пейков от ефектите. Сега са ни нужни повече от първите.",Негативен,0.72,разочарование,https://www.mediapool.bg/asen-vasilev-stava-deputat-ot-plovdiv-manol-peikov-ostava-izvan-parlamenta-news382721.html
"Много ще ми липсва Coпол и неговите прекрасни руски изпълнения в рецитал. А агресията му към руснаците впоследствие е уникална и разкрива само неговата морално повратлива същност. Ти си достоен член на ПП/ДБ и заслужаваш мястото си в парламента, Cопoле!!!",Негативен,0.94,презрение,https://www.mediapool.bg/asen-vasilev-stava-deputat-ot-plovdiv-manol-peikov-ostava-izvan-parlamenta-news382721.html
Да не са го избрали от ДПС? Прасюгата много ще му се радва ;-),Негативен,0.82,подигравка,https://www.mediapool.bg/asen-vasilev-stava-deputat-ot-plovdiv-manol-peikov-ostava-izvan-parlamenta-news382721.html
"По-долу някой каза, че се цепят на умни и красиви муааааааа.",Негативен,0.72,подигравка,https://www.mediapool.bg/asen-vasilev-stava-deputat-ot-plovdiv-manol-peikov-ostava-izvan-parlamenta-news382721.html
Е то вече се получи. Льо пти Женераль не си говори с МирчОФФ,Негативен,0.72,ирония,https://www.mediapool.bg/asen-vasilev-stava-deputat-ot-plovdiv-manol-peikov-ostava-izvan-parlamenta-news382721.html
"Пейков тъкмо ще си пие на спокойствие, без това да се отразява на всички, които гледат репортажи от НС. Пък и се надявам да има по нормален тон в парламента. Та отвсякъде добре .",Позитивен,0.84,удовлетворение,https://www.mediapool.bg/asen-vasilev-stava-deputat-ot-plovdiv-manol-peikov-ostava-izvan-parlamenta-news382721.html
"На някой много му се иска да сее интриги и да вбива клин между ПП, ""Да, България"" и ДСБ превръщайки всеки частен спор ""от муха в летящ слон"". Но няма да му се получи ! Не с емоции, а с прагматизъм и здрав разум, не чрез разлайване на мрежите, а в спокойни директни разговори между техните лидери, ПП и ДБ ще намерят оптималната формула на коалиране и начина за вземане на ключови и оперативни решения. ПП-ДБ са на прага на исторически момент, когато могат да реализират тъй дългоочакваните реформи в съдебната система. И независимо от различните идеи за постигането й, тяхната обща кауза ги задължава да бъдат единни и на нивото на очакванията на техните избиратели. Успех !",Позитивен,0.82,надежда,https://www.mediapool.bg/asen-vasilev-stava-deputat-ot-plovdiv-manol-peikov-ostava-izvan-parlamenta-news382721.html
"След като българите сме авторите на първото антифеодално въстание (селянина Ивайло стана цар) Априлското и първото антифашистко въстание в света, сега е ред на първото антиевропейско въстание. Пропуснах Спартак , той е от Сандански.",Негативен,0.62,ирония,https://www.mediapool.bg/okonchatelno-radev-sas-131-deputati-gerb-ima-39-a-pp-db---37-news382679.html
