,sentiment,confidence,dominant_emotion
https://www.dnes.bg/a/448-svobodno-vreme/723995-11-nuzhdi-za-koito-nikoya-sapruga-ne-biva-da-moli-mazha-si,Неутрален,0.78,загриженост
https://www.dnes.bg/a/2-svyat/723882-dashteryata-na-megan-markal-i-prints-hari-stana-na-5-g,Позитивен,0.88,радост
https://www.dnes.bg/a/2-svyat/723881-kamila-kabelo-i-gadzheto-skasali,Негативен,0.72,разочарование
https://www.dnes.bg/a/2-svyat/723880-mandi-mur-prezhivyala-neuspeshno-invitro,Позитивен,0.78,благодарност
https://www.dnes.bg/a/448-svobodno-vreme/723997-3-lesni-i-vkusni-retsepti-da-si-prigotvite-sami-sladoled-bez-zahar,Позитивен,0.92,радост
https://www.dnes.bg/a/448-svobodno-vreme/724049-kara-delevin-s-tezhki-samopriznaniya-za-seksa-i-drogata,Негативен,0.97,тъга
https://www.dnes.bg/a/448-svobodno-vreme/724039-sanishtata-se-zavrashtat-sutrin-s-daniela-i-vladimir-ovcharovi,Позитивен,0.78,възхищение
https://www.dnes.bg/a/448-svobodno-vreme/724031-bratovched-otryaza-prints-hari-ne-go-pokani-na-svatbata-si,Негативен,0.86,разочарование
https://www.dnes.bg/a/448-svobodno-vreme/723978-retseptata-dnes-desert-s-kiselo-mlyako-i-plodove,Позитивен,0.78,удоволствие
https://www.dnes.bg/a/448-svobodno-vreme/724012-retseptata-dnes-traditsionnoto-rumansko-yastie-tochitura,Неутрален,0.82,спокойствие
https://www.dnes.bg/a/448-svobodno-vreme/724008-teylar-suift-i-travis-kels-vdigat-svatba-na-3-yuli-v-manhatan,Неутрален,0.82,любопитство
https://www.dnes.bg/a/5-zdrave/723811-koi-dobavki-povishavat-zhenskoto-libido-sled-40,Неутрален,0.82,спокойствие
https://www.dnes.bg/a/448-svobodno-vreme/723914-lyubovnata-istoriya-na-rafael-nadal-i-saprugata-mu-mariya,Позитивен,0.92,любов
https://www.dnes.bg/a/448-svobodno-vreme/724011-pochina-britanskiyat-aktyor-antani-hed,Негативен,0.94,скръб
https://www.dnes.bg/a/448-svobodno-vreme/723917-28-godini-po-kasno-miki-rurk-se-pokaya-pred-bivshata-si-sapruga-kare-otis,Негативен,0.92,съжаление
https://www.dnes.bg/a/448-svobodno-vreme/723918-interiornite-dizayneri-sa-kategorichni-siviyat-divan-e-demode,Позитивен,0.72,оптимизъм
https://www.dnes.bg/a/448-svobodno-vreme/723964-stenli-tuchi-progovori-za-21-godishnata-razlika-sas-saprugata-si,Позитивен,0.92,възхищение
https://www.dnes.bg/a/448-svobodno-vreme/723904-istoriya-filosofiya-i-balgarski-traditsii-v-romana-sedem-dni-v-paroriya,Неутрален,0.9,спокойствие
https://www.dnes.bg/a/448-svobodno-vreme/723937-anna-kendrik-shte-rezhisira-skandalniyat-zhivot-na-evelin-hyugo,Неутрален,0.86,любопитство
https://www.dnes.bg/a/448-svobodno-vreme/723948-sadat-okonchatelno-reshi-che-morfov-e-uvolnen-nezakonno-narodniyat-teatar-se-vazmuti,Неутрален,0.72,напрежение
https://www.dnes.bg/a/448-svobodno-vreme/723895-aktrisata-stefaniya-sandreli-na-80-g-tolkova-mnogo-mi-haresva-da-zhiveya,Позитивен,0.92,възхищение
https://www.dnes.bg/a/448-svobodno-vreme/723867-tramp-nekadarnitsite-koito-prispivat-s-pesnite-si-da-si-stoyat-u-doma,Неутрален,0.72,спокойствие
https://www.dnes.bg/a/448-svobodno-vreme/723868-fifa-zabrani-vuvuzelite-na-mondiala-v-sasht-meksiko-i-kanada,Неутрален,0.86,спокойствие
https://www.dnes.bg/a/558-vremeto/723862-dnes-poveche-slantse-sledobed-pak-shte-prevali-i-pregarmi,Неутрален,0.96,спокойствие
https://www.dnes.bg/a/448-svobodno-vreme/723732-bret-goldstin-zasipa-s-pohvali-dzhey-lo,Позитивен,0.95,възхищение
https://www.dnes.bg/a/448-svobodno-vreme/723767-val-kilmar-beshe-zakleymen-za-nay-loshiyat-chovek-na-sveta-godina-sled-smartta-si,Негативен,0.86,гняв
https://www.dnes.bg/a/448-svobodno-vreme/723770-yagodi-i-smetana-nay-aktualniya-tsvyat-v-kosite-za-lyato-2026,Позитивен,0.88,възхищение
https://www.dnes.bg/a/448-svobodno-vreme/723861-magdalena-ralcheva-kulturata-tryabva-da-stiga-do-horata,Позитивен,0.62,вдъхновение
https://www.dnes.bg/a/448-svobodno-vreme/723825-kotkata-na-karl-lagerfeld-shupet-se-okaza-bedna,Негативен,0.82,разочарование
https://www.dnes.bg/a/448-svobodno-vreme/723766-dzhey-lo-i-bret-goldshtayn-naistina-sa-imali-afera-dokato-sa-snimali-sluzheben-romans,Неутрален,0.78,любопитство
https://www.dnes.bg/a/448-svobodno-vreme/723734-maya-dzhama-komentira-razdyalata-s-ruben-dias,Неутрален,0.62,решителност
https://www.dnes.bg/a/448-svobodno-vreme/723730-dzheykab-elordi-vpechatlen-ot-priyatelite-na-kendal-dzhenar,Позитивен,0.78,възхищение
https://www.dnes.bg/a/448-svobodno-vreme/723733-kayli-dzhenar-sabra-pogledite-po-rozov-banski,Позитивен,0.86,възхищение
https://www.dnes.bg/a/448-svobodno-vreme/723724-v-ispaniya-preporachaha-da-se-raboti-ot-doma-pri-vizitata-na-papata,Неутрален,0.93,спокойствие
https://www.dnes.bg/a/448-svobodno-vreme/723737-tsvetovete-lakove-za-nokti-moderni-za-yuni,Позитивен,0.96,радост
https://www.dnes.bg/a/448-svobodno-vreme/723817-park-bedechka-stava-stsena-za-artisti-ot-chetiri-darzhavi,Позитивен,0.86,вдъхновение
https://www.dnes.bg/a/448-svobodno-vreme/723831-retseptata-dnes-srabski-chevapi,Позитивен,0.82,удоволствие
